,taget_domain,architecture,pretrained,augmented,test_loss,test_accuracy,i
32,art_painting,ResNet50,False,True,1.8679478894919157,0.3583984375,0
33,photo,ResNet18,True,True,0.11923807483377322,0.9574850299401197,0
34,photo,ResNet50,True,True,0.10543674863172027,0.962874251497006,2
35,cartoon,ResNet50,True,True,0.6723250915875306,0.7610921501706485,2
36,sketch,ResNet18,False,False,3.413724380780042,0.14227538813947568,2
37,sketch,ResNet50,True,False,0.82512153939503,0.6833799949096462,0
38,photo,ResNet18,False,True,1.3952741240555386,0.4125748502994012,3
39,sketch,ResNet18,False,True,2.1340593904014526,0.29167727157037415,3
40,sketch,ResNet50,False,True,1.3353077512446458,0.45304148638330366,3
41,art_painting,ResNet18,True,False,0.6835497389547527,0.77197265625,1
42,art_painting,ResNet50,True,True,0.4224092864897102,0.86328125,2
43,cartoon,ResNet18,True,True,0.7504336370809658,0.7175767918088737,2
44,cartoon,ResNet50,False,True,1.6458890502517287,0.37841296928327645,2
45,art_painting,ResNet18,False,False,2.496240282431245,0.2744140625,1
46,cartoon,ResNet50,True,False,0.5271659299127154,0.8195392491467577,2
47,sketch,ResNet18,False,False,2.1725645772809905,0.24840926444387884,3
48,art_painting,ResNet50,True,True,0.38327398151159286,0.8779296875,3
49,cartoon,ResNet50,False,True,1.8875652720799316,0.4121160409556314,1
50,cartoon,ResNet50,False,False,1.7413421563200049,0.26578498293515357,2
51,cartoon,ResNet18,True,True,0.7407081912498217,0.726962457337884,1
52,art_painting,ResNet50,False,False,1.894699601456523,0.21875,2
53,photo,ResNet18,False,True,1.5036150250794753,0.4029940119760479,2
54,photo,ResNet50,True,False,0.121900502847121,0.9491017964071856,0
55,cartoon,ResNet18,True,False,0.8358182886967788,0.7273890784982935,2
56,cartoon,ResNet18,False,True,1.7489213138013273,0.33831058020477817,0
57,sketch,ResNet50,True,False,0.9006273635034638,0.695851361669636,3
58,sketch,ResNet50,True,True,0.7208107022977457,0.7274115551030796,2
59,art_painting,ResNet18,False,False,2.93407766520977,0.2158203125,3
60,photo,ResNet18,True,True,0.15702714040031973,0.9467065868263473,1
61,cartoon,ResNet50,True,True,0.6019264187764477,0.7815699658703071,0
62,art_painting,ResNet50,False,False,1.8630113117396832,0.2197265625,0
63,sketch,ResNet50,False,True,1.2330303754263776,0.5100534487146857,2
64,photo,ResNet18,False,False,1.4534449757270094,0.4467065868263473,1
65,art_painting,ResNet50,False,True,2.00834178365767,0.29248046875,2
66,art_painting,ResNet50,True,False,0.4044203009689227,0.86767578125,2
67,art_painting,ResNet18,True,False,0.5515354992821813,0.80859375,0
68,photo,ResNet18,False,False,1.5328023613623853,0.4353293413173653,2
69,photo,ResNet18,True,False,0.15612268451390401,0.9335329341317365,1
70,cartoon,ResNet50,False,False,1.894710674479201,0.18813993174061433,3
71,sketch,ResNet18,False,True,1.8197653448678615,0.3308729956731993,2
72,photo,ResNet50,False,False,1.843816876411438,0.2832335329341317,1
73,cartoon,ResNet18,False,False,2.3608882701074756,0.3195392491467577,0
74,sketch,ResNet18,True,True,0.9302029362538966,0.6439297531178417,1
75,art_painting,ResNet18,True,True,0.6259596007876098,0.78466796875,3
76,cartoon,ResNet18,True,False,0.6996952255029936,0.7563993174061433,1
77,photo,ResNet50,False,False,1.7232425707691121,0.3508982035928144,2
78,cartoon,ResNet50,True,True,0.622271826465589,0.7632252559726962,1
79,art_painting,ResNet18,False,True,2.3599355183541775,0.2275390625,0
80,art_painting,ResNet50,False,True,1.8413150068372488,0.296875,3
81,sketch,ResNet18,True,True,0.9235173337827853,0.6449478238737593,2
82,art_painting,ResNet18,False,True,2.314705414697528,0.255859375,1
83,photo,ResNet18,True,True,0.13273573044757797,0.9532934131736527,2
84,photo,ResNet18,False,True,1.514257919113591,0.39221556886227543,1
85,art_painting,ResNet50,True,False,0.4461006886558607,0.853515625,3
86,cartoon,ResNet50,True,False,0.6422162388224859,0.7947952218430034,3
87,cartoon,ResNet50,True,True,0.5939188104223561,0.783703071672355,3
88,cartoon,ResNet50,False,True,1.780788784091537,0.37841296928327645,0
89,cartoon,ResNet50,False,True,1.7743121675542883,0.39291808873720135,3
90,sketch,ResNet50,True,True,0.7834111035354738,0.7207940951896157,1
