,dataset_name,taget_domain,architecture,augmentations,test_loss,test_accuracy,i,tp,tn,fp,fn,auc-score,pretrained
45,pacs,cartoon,ResNet18,No Augmentations,2.62848194386508,0.3370307167235495,3,,,,,,False
46,pacs,sketch,ResNet18,Augmix and Fourier,1.7972781619405358,0.27437006871977604,0,,,,,,False
47,pacs,cartoon,ResNet50,Augmix,2.0116904539030953,0.29650170648464164,2,,,,,,False
48,pacs,sketch,ResNet18,No Augmentations,3.763978101373688,0.09162636803257826,1,,,,,,False
49,pacs,sketch,ResNet50,Jigsaw,1.8119821092946742,0.2545176889793841,1,,,,,,False
50,pacs,photo,ResNet50,Fourier,1.6310094190093707,0.3844311377245509,3,,,,,,False
51,pacs,sketch,ResNet50,No Augmentations,1.8362515903100736,0.2853143293458895,1,,,,,,False
52,pacs,cartoon,ResNet50,Fourier,1.9690670435493056,0.2098976109215017,3,,,,,,False
53,pacs,art_painting,ResNet50,No Augmentations,2.3280174136161804,0.23046875,3,,,,,,False
54,pacs,sketch,ResNet50,No Augmentations,2.2843921232998854,0.22906592008144566,2,,,,,,False
55,pacs,art_painting,ResNet50,Dlow,2.0268698278814554,0.23095703125,1,,,,,,False
56,pacs,photo,ResNet50,Fourier,1.619540126818531,0.39221556886227543,1,,,,,,False
57,pacs,sketch,ResNet18,Dlow,1.6704972536583258,0.3494527869686943,2,,,,,,False
58,pacs,photo,ResNet18,Fourier,1.430132067428445,0.46526946107784434,3,,,,,,False
59,pacs,photo,ResNet50,No Augmentations,1.6131084932471222,0.4101796407185629,0,,,,,,False
60,pacs,cartoon,ResNet50,Augmix,2.0532504980628556,0.295221843003413,1,,,,,,False
61,pacs,cartoon,ResNet18,Augmix,1.9438366342235256,0.43600682593856654,2,,,,,,False
62,pacs,cartoon,ResNet50,Dlow,2.0276669118855453,0.23890784982935154,2,,,,,,False
63,pacs,art_painting,ResNet18,Fourier,2.017124390229583,0.29931640625,3,,,,,,False
64,pacs,sketch,ResNet50,No Augmentations,1.9163512970373882,0.30593026215321967,0,,,,,,False
65,pacs,art_painting,ResNet50,Jigsaw,2.751352034509182,0.19921875,0,,,,,,False
