Current value: 0.7720135017298162, Current params: {'LEARNING_RATE': 0.004252836728021393, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0049052215793073135, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.810857226882525, 'DAMPENING': 0.0034138884781100415, 'GAMMA': 0.6978413849131181, 'STEP_SIZE': 9}
     Best value: 0.7416720922504153, Best params: {'LEARNING_RATE': 0.003560989626399084, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011952775834108417, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7141362290925046, 'DAMPENING': 0.07624347204330735, 'GAMMA': 0.6011775105797543, 'STEP_SIZE': 26}

#####################################################
Current value: 0.6955810827868325, Current params: {'LEARNING_RATE': 0.0020503497256853455, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.030555480359724156, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6981862361169259, 'DAMPENING': 0.16929552047493107, 'GAMMA': 0.4012872787695003, 'STEP_SIZE': 33}
     Best value: 0.6955810827868325, Best params: {'LEARNING_RATE': 0.0020503497256853455, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.030555480359724156, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6981862361169259, 'DAMPENING': 0.16929552047493107, 'GAMMA': 0.4012872787695003, 'STEP_SIZE': 33}

#####################################################
Current value: 0.830017123903547, Current params: {'LEARNING_RATE': 0.002023707911816095, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02908720934072666, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6937524359865224, 'DAMPENING': 0.1609839885974374, 'GAMMA': 0.3958718940514104, 'STEP_SIZE': 35}
     Best value: 0.6955810827868325, Best params: {'LEARNING_RATE': 0.0020503497256853455, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.030555480359724156, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6981862361169259, 'DAMPENING': 0.16929552047493107, 'GAMMA': 0.4012872787695003, 'STEP_SIZE': 33}
