
#####################################################
Current value: 1.8830606341362, Current params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 2.0366564989089966, Current params: {'LEARNING_RATE': 0.006644478634462015, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03948359400225683, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.6648774340274832, 'DAMPENING': 0.020240070762622353, 'GAMMA': 0.37300623903141306, 'STEP_SIZE': 35, 'USE_AUGMIX': True, 'SEVERITY': 8, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 5, 'ALPHA': 0.25563427103607284, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 190, 'ETA': 0.9152505044882714, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 10, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
