Current value: 0.605662003159523, Current params: {'LEARNING_RATE': 0.0011237494598000787, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08748505596685617, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8252517204838944, 'DAMPENING': 0.1774908802379809, 'GAMMA': 0.16693187873711834, 'STEP_SIZE': 35}
     Best value: 0.5378398788826806, Best params: {'LEARNING_RATE': 0.0002532022051454713, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.06525091732744893, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7902863020285766, 'DAMPENING': 0.17867427283510134, 'GAMMA': 0.10324470624488036, 'STEP_SIZE': 50}

#####################################################
Current value: 0.5116968846746853, Current params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}

#####################################################
Current value: 0.6976947890860694, Current params: {'LEARNING_RATE': 0.0027817679562788878, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.010281991778202479, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8328492618384332, 'DAMPENING': 0.15179530171591363, 'GAMMA': 0.31483399388205113, 'STEP_SIZE': 45}
     Best value: 0.5116968846746853, Best params: {'LEARNING_RATE': 0.0027429695508424273, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.023800223538104806, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8391488616327069, 'DAMPENING': 0.14292770092835805, 'GAMMA': 0.3104991433982568, 'STEP_SIZE': 45}
