     Best value: 1.2672874331474304, Best params: {'LEARNING_RATE': 0.0019194360040431947, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00671169887238855, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.1928899089495342, Current params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8147848314709134, Current params: {'LEARNING_RATE': 0.010118882709814647, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04479173556279171, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.9190011775052105, Current params: {'LEARNING_RATE': 0.024059272117884882, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07045141782933166, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.854150206702096, Current params: {'LEARNING_RATE': 0.0176183345353492, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.024899798167288666, 'BATCH_SIZE': 16}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.833296881781684, Current params: {'LEARNING_RATE': 0.035530106064372666, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.057908577473090084, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8260908877408062, Current params: {'LEARNING_RATE': 0.009001287335927264, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04028447933011577, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5715841010764793, Current params: {'LEARNING_RATE': 0.0003677614484946636, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08112355326139051, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.7940030608858382, Current params: {'LEARNING_RATE': 0.009088324376414096, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.030528270301023095, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.3339540617806571, Current params: {'LEARNING_RATE': 0.021374752927257847, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0008228475406508937, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5936929157802038, Current params: {'LEARNING_RATE': 0.020180010264503986, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0017568409953502674, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.6368689324174608, Current params: {'LEARNING_RATE': 0.014190581909307665, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.010675501092480347, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5196465509278434, Current params: {'LEARNING_RATE': 0.006781312184721187, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.01870717248246653, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5290813105446952, Current params: {'LEARNING_RATE': 0.011822737119579969, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.008375357238953225, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8449804868016924, Current params: {'LEARNING_RATE': 0.03169308464804558, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.016806599445506366, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.2655625343322754, Current params: {'LEARNING_RATE': 0.005133499871542658, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0014504867724132071, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.815144385610308, Current params: {'LEARNING_RATE': 0.005130489190562598, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05223529933299483, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.813185351235526, Current params: {'LEARNING_RATE': 0.013251823159287648, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04628397136121575, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8109867061887468, Current params: {'LEARNING_RATE': 0.025503892044501063, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.007616241484863742, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5842599081543256, Current params: {'LEARNING_RATE': 1.9601649947646814e-05, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.022099332124398848, 'BATCH_SIZE': 32}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8453905241830009, Current params: {'LEARNING_RATE': 0.09614594795639506, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0013424155146204977, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8485921848387945, Current params: {'LEARNING_RATE': 0.019279536177223222, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.011548972929681328, 'BATCH_SIZE': 16}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.3533709687846047, Current params: {'LEARNING_RATE': 0.006014306890545605, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.005048230760539032, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8836467486840707, Current params: {'LEARNING_RATE': 0.053279549866014776, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.01412018270434385, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5643106024220306, Current params: {'LEARNING_RATE': 0.044379159598332316, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0002177338525287103, 'BATCH_SIZE': 32}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
