
#####################################################
Current value: 0.6382318399846554, Current params: {'LEARNING_RATE': 0.009735083716264237, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.028631912156090844, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5394650849462647, 'DAMPENING': 0.16656203993785282, 'GAMMA': 0.43468294494165094, 'STEP_SIZE': 50, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 3, 'ALPHA': 0.32059948428038376, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 146, 'ETA': 0.7763369376685049, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 0.39083239529281855, Best params: {'LEARNING_RATE': 0.0005896896592412092, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.042429711812908825, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6471398743998914, 'DAMPENING': 0.0023522561222731222, 'GAMMA': 0.13979564745885797, 'STEP_SIZE': 28, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 3, 'ALPHA': 0.016630203397900112, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 222, 'ETA': 0.12973080520309144, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.18428320751991123, Current params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
