Current value: 1.9516712284088136, Current params: {'LEARNING_RATE': 0.00850521083404424, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.07521031764370534, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5144919502485567, 'DAMPENING': 0.014392873100162485, 'GAMMA': 0.6398048506658709, 'STEP_SIZE': 23, 'USE_AUGMIX': True, 'SEVERITY': 8, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 5, 'ALPHA': 0.013862971630549947, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 108, 'ETA': 0.2908480355909179, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 1.8863625240325927, Best params: {'LEARNING_RATE': 0.0013893337234740133, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03031477928973582, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.8834619880097645, 'DAMPENING': 0.022926067390959193, 'GAMMA': 0.6042850320455113, 'STEP_SIZE': 33, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 8, 'ALPHA': 0.9816444086214806, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.6098605751464224, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 1.8381318616867066, Current params: {'LEARNING_RATE': 0.007567873012361062, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.014698741099749347, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6114002565252276, 'DAMPENING': 0.022498473803191213, 'GAMMA': 0.31199992712851987, 'STEP_SIZE': 12, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 7, 'ALPHA': 0.8280605995933323, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 107, 'ETA': 0.16122678180753636, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8381318616867066, Best params: {'LEARNING_RATE': 0.007567873012361062, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.014698741099749347, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6114002565252276, 'DAMPENING': 0.022498473803191213, 'GAMMA': 0.31199992712851987, 'STEP_SIZE': 12, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 7, 'ALPHA': 0.8280605995933323, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 107, 'ETA': 0.16122678180753636, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.7199882316589354, Current params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.7199882316589354, Best params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9397371006011963, Current params: {'LEARNING_RATE': 0.00456270391607689, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09845414925930764, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7210028387826257, 'DAMPENING': 0.10687474689908733, 'GAMMA': 0.4114337644539789, 'STEP_SIZE': 50, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 1, 'ALPHA': 0.5296679613385745, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 215, 'ETA': 0.9769300931588074, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
