     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.6946118218558175, Current params: {'LEARNING_RATE': 0.005674360283327344, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7343553926202543, 'DAMPENING': 0.1687159231072129, 'GAMMA': 0.11273426534898084, 'STEP_SIZE': 50}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7301477534430367, Current params: {'LEARNING_RATE': 0.004907728416845102, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6019042726141497, 'DAMPENING': 0.1183839098727596, 'GAMMA': 0.2553490482423948, 'STEP_SIZE': 35}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7528569187436784, Current params: {'LEARNING_RATE': 0.00650845685270262, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.542173858795798, 'DAMPENING': 0.12025596660851502, 'GAMMA': 0.27746203042667716, 'STEP_SIZE': 23}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.841076169695173, Current params: {'LEARNING_RATE': 0.00021421139013523983, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7138233721765973, 'DAMPENING': 0.17090194356179766, 'GAMMA': 0.2923383995778429, 'STEP_SIZE': 43}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
