Val set other domain


     Best value: 1.8207276239991188, Best params: {'LEARNING_RATE': 0.008767384168402595, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09487890051991603, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5659967585825683, 'DAMPENING': 0.07707689788054345, 'GAMMA': 0.36398318783424366, 'STEP_SIZE': 33}

#####################################################
Current value: 1.9484265819191933, Current params: {'LEARNING_RATE': 0.00010235364653369194, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.028869835677209816, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.6129284675069957, 'DAMPENING': 0.10143374151199303, 'GAMMA': 0.101862856030959, 'STEP_SIZE': 34}
     Best value: 1.8207276239991188, Best params: {'LEARNING_RATE': 0.008767384168402595, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09487890051991603, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5659967585825683, 'DAMPENING': 0.07707689788054345, 'GAMMA': 0.36398318783424366, 'STEP_SIZE': 33}

#####################################################
Current value: 1.9226776361465454, Current params: {'LEARNING_RATE': 0.009735772283693617, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.029355857830670226, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7045291796676169, 'DAMPENING': 0.06903198899510352, 'GAMMA': 0.37680903143749594, 'STEP_SIZE': 21}
     Best value: 1.8207276239991188, Best params: {'LEARNING_RATE': 0.008767384168402595, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09487890051991603, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5659967585825683, 'DAMPENING': 0.07707689788054345, 'GAMMA': 0.36398318783424366, 'STEP_SIZE': 33}

#####################################################
Current value: 1.7132789678871632, Current params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}
