Current value: 0.7547725457698107, Current params: {'LEARNING_RATE': 0.009762914268446488, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.051603695877666916, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5912794482323915, 'DAMPENING': 0.17937670762099336, 'GAMMA': 0.8056038212040594, 'STEP_SIZE': 35, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 7, 'ALPHA': 0.9036645695906408, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 177, 'ETA': 0.1881253242359059, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 12, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.6700203754007816, Current params: {'LEARNING_RATE': 0.0008547309546187781, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.04175156035722203, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5791714189915541, 'DAMPENING': 0.1853701228697153, 'GAMMA': 0.45171086887592415, 'STEP_SIZE': 11, 'USE_AUGMIX': True, 'SEVERITY': 10, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 8, 'ALPHA': 0.8468327268688514, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 167, 'ETA': 0.25059493730677973, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Fourier,Augmix,Dlow,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.5535163693130016, Current params: {'LEARNING_RATE': 0.006085539187954371, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08367343587543637, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5439406667880543, 'DAMPENING': 0.0493075682103814, 'GAMMA': 0.1572422689093921, 'STEP_SIZE': 46, 'USE_AUGMIX': True, 'SEVERITY': 8, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.8476749876658162, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 155, 'ETA': 0.3178268831053579, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 11, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.49017457105219364, Current params: {'LEARNING_RATE': 0.006604712771675815, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.08177255446172818, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5498562740218313, 'DAMPENING': 0.0033523891808908916, 'GAMMA': 0.18011629888285485, 'STEP_SIZE': 49, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 6, 'ALPHA': 0.7901023738215673, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 183, 'ETA': 0.31504297385715163, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 9, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.4308843417093158, Current params: {'LEARNING_RATE': 0.003396738967375499, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.00843186233304916, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6718607363650628, 'DAMPENING': 0.14857191502089284, 'GAMMA': 0.8920912177284499, 'STEP_SIZE': 30, 'USE_AUGMIX': False, 'SEVERITY': 2, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 4, 'ALPHA': 0.6151299069121424, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 72, 'ETA': 0.0014650499741020173, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 15, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
