Current value: 1.9572664073535375, Current params: {'LEARNING_RATE': 0.009765209157164003, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07232369092319342, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6447939907461759, 'DAMPENING': 0.17649579060830536, 'GAMMA': 0.10772444391489377, 'STEP_SIZE': 37}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9588560717446464, Current params: {'LEARNING_RATE': 0.008755617094636481, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07663786885565768, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7693284383632856, 'DAMPENING': 0.1422927409802934, 'GAMMA': 0.20831927617792095, 'STEP_SIZE': 29}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.942062292780195, Current params: {'LEARNING_RATE': 0.006971857399619974, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.08474532945358323, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8599930722457694, 'DAMPENING': 0.1954390268357413, 'GAMMA': 0.3382523553340835, 'STEP_SIZE': 23}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
